,nama lengkap,alias,instagram,,,,,,
473,Dewi Persik,,,,crawled (batch 2),,,,
474,Dewi Rezer,,,,crawled (batch 2),,,,
475,Dewi Sanca,,,,crawled (batch 2),,,,
476,Dewi Sandra,,,,crawled (batch 2),,,,
477,Dewi Yull,,,,crawled (batch 2),,,,
478,Dhana Xaviera,,,,crawled (batch 2),,,,
479,Dhani Ahmad Prasetyo,,,,crawled (batch 2),,,,
480,Dhawiya Zaida,,,,crawled (batch 2),,,,
481,Dhea Ananda,,,,crawled (batch 2),,,,
483,Dhea Annisa,,,,crawled (batch 2),,,,
484,Dhea Seto,,,,crawled (batch 2),,,,
485,Dhini Aminarti,,,,crawled (batch 2),,,,
486,Di Muhammad Devirzha,,,,crawled (batch 2),,,,
487,Dia Sekala Bumi,,,,crawled (batch 2),,,,
488,Diah Permatasari,,,,crawled (batch 2),,,,
489,Diajeng Lestari,,diajenglestari,,crawled (batch 2),,,,
490,Dian Ayu Lestari,,,,crawled (batch 2),,,,
491,Dian Nitami,,,,crawled (batch 2),,,,
492,Dian Pelangi,,,,crawled (batch 2),,,,
493,Dian Pramana Putra,,,,crawled (batch 2),,,,
494,Dian Sastrowardoyo,,,,crawled (batch 2),,,,
495,Diana Rikasari,,,,crawled (batch 2),,,,
496,Dicky Maulana Prasetya,,,,crawled (batch 2),,,,
497,Didi Kempot,,,,crawled (batch 2),,,,
498,Didi Mahardika,,,,crawled (batch 2),,,,
499,Didi Petet,,,,crawled (batch 2),,,,
500,Didi Riyadi,,,,crawled (batch 2),,,,
501,Didiet Maulana,,,,crawled (batch 2),,,,
502,Dikta Wicaksono,,,,crawled (batch 2),,,,
503,Dimas Anggara,,,,crawled (batch 2),,,,
504,Dimas Beck,,,,crawled (batch 2),,,,
505,Dimas Danang,,,,crawled (batch 2),,,,
506,Dimas Djayadiningrat,,,,crawled (batch 2),,,,
507,Dimas Seto,,,,crawled (batch 2),,,,
508,Dinda Hauw,,,,crawled (batch 2),,,,
509,Dinda Kanya Dewi,,,,crawled (batch 2),,,,
510,Dinda Kirana,,,,crawled (batch 2),,,,
512,Dinesia,,,,crawled (batch 2),,,,
513,Dini Aminarti,,,,crawled (batch 2),,,,
514,Dion Wiyoko,,,,crawled (batch 2),,,,
515,Dipha Barus,,,,crawled (batch 2),,,,
516,Dira Sugandi,,,,crawled (batch 2),,,,
517,Dirly dave Sompie,,,,crawled (batch 2),,,,
518,Dita Fakhrana Utami,,,,crawled (batch 2),,,,
519,Dita Sumargo,,,,crawled (batch 2),,,,
520,Djauhari Oratmangun,,,,crawled (batch 2),,,,
521,Djenar Maesa Ayu,,,,crawled (batch 2),,,,
522,Djuhri Masdjan,,,,crawled (batch 2),,,,
523,Dodi Hidayatullah,,,,crawled (batch 2),,,,
524,Dodit Mulyanto,,,,crawled (batch 2),,,,
526,Dominique Diyose,,,,crawled (batch 2),,,,
